species_guid,plant_parts,pest_stage,visibility_type,spreading_way
1a311dd7-557c-45ac-89da-f78ac80e5eb0,种子,,,
1a311dd7-557c-45ac-89da-f78ac80e5eb0,种苗;组培苗,,裸眼可见,
1a311dd7-557c-45ac-89da-f78ac80e5eb0,叶,,裸眼可见,
1a311dd7-557c-45ac-89da-f78ac80e5eb0,茎;枝;芽,,,
1a311dd7-557c-45ac-89da-f78ac80e5eb0,花,,不可见,
1a311dd7-557c-45ac-89da-f78ac80e5eb0,果实（包括果柄）,,不可见,
1a311dd7-557c-45ac-89da-f78ac80e5eb0,根,,不可见,
c06dac62-ddd3-4012-a59d-3870b31fa120,种苗;组培苗,卵/幼虫/蛹/成虫,光学显微镜可见,
c06dac62-ddd3-4012-a59d-3870b31fa120,树皮,成虫,裸眼可见,
c06dac62-ddd3-4012-a59d-3870b31fa120,木材,卵/幼虫/蛹/成虫,光学显微镜可见,
c06dac62-ddd3-4012-a59d-3870b31fa120,茎;枝;芽,卵/幼虫/蛹/成虫,光学显微镜可见,
f365e2b4-542d-48d8-8351-8e7b00626ef1,种子,,,
f365e2b4-542d-48d8-8351-8e7b00626ef1,种苗;组培苗,,,
f365e2b4-542d-48d8-8351-8e7b00626ef1,叶,,,
f365e2b4-542d-48d8-8351-8e7b00626ef1,茎;枝;芽,,,
f365e2b4-542d-48d8-8351-8e7b00626ef1,花,,,
f365e2b4-542d-48d8-8351-8e7b00626ef1,果实（包括果柄）,,,
f365e2b4-542d-48d8-8351-8e7b00626ef1,根,,,
5e7ae3a2-2ffb-4a77-924f-2de943072e1a,种苗;组培苗,,不可见,
5e7ae3a2-2ffb-4a77-924f-2de943072e1a,叶,,不可见,
5e7ae3a2-2ffb-4a77-924f-2de943072e1a,鳞球茎（包括鳞茎/块茎/块根）,,不可见,
5e7ae3a2-2ffb-4a77-924f-2de943072e1a,茎;枝;芽,,不可见,
5e7ae3a2-2ffb-4a77-924f-2de943072e1a,花,,不可见,
5e7ae3a2-2ffb-4a77-924f-2de943072e1a,果实（包括果柄）,,不可见,
1be9ed46-2b4c-426b-8b7d-c3adcfd6ec16,全株,,,
c810f843-acf7-4e51-8db7-9f78e092d384,全株,,,
a1c18d60-8928-42b7-b698-11f3d72c3dbe,种子,,,
a1c18d60-8928-42b7-b698-11f3d72c3dbe,种苗;组培苗,,,
a1c18d60-8928-42b7-b698-11f3d72c3dbe,叶,,,
a1c18d60-8928-42b7-b698-11f3d72c3dbe,茎;枝;芽,,,
a1c18d60-8928-42b7-b698-11f3d72c3dbe,花,,,
a1c18d60-8928-42b7-b698-11f3d72c3dbe,果实（包括果柄）,,,
a1c18d60-8928-42b7-b698-11f3d72c3dbe,根,,,
33bdba41-1b2e-4ab2-8cff-44b4e0d35ec6,种子,,,
33bdba41-1b2e-4ab2-8cff-44b4e0d35ec6,种苗;组培苗,,,
33bdba41-1b2e-4ab2-8cff-44b4e0d35ec6,叶,,,
33bdba41-1b2e-4ab2-8cff-44b4e0d35ec6,茎;枝;芽,,,
