id,species_guid,host_guid,host_name,host_name_cn,host_types
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,00c9a04c-f4c3-4fb4-86ab-6bce440a3d60,Citrus limetta,来檬,自然寄主
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,123f09bd-5fa9-4544-9f51-303fd00f667e,Citrus reticulata var. poonensis,柑,自然寄主
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,10bf1452-2266-4ee8-b8ff-f5aa48a9d825,Citrus sabon,斗柚,自然寄主
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,357a4e60-1586-4678-862f-5d2a9af808fa,Citrus sinensis,甜橙,",,其他,自然寄主"
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,5a47ea9f-c174-4083-a572-0d957b657c70,Clerodendron fragrans,臭茉莉,自然寄主
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,17ae786d-b002-400e-9cd9-6a7bfbd89e1e,Coffea,咖啡属,",自然寄主"
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,789b21ca-14f0-482a-bea9-a229855b1f55,Colocasia,标夜蛾属,自然寄主
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,54fd3e71-cd7d-44a7-894d-66fc1025cb65,Colocasia antiquorum,野芋,"接种寄主,自然寄主"
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,2094b5f7-ac9b-4fa5-87f9-9b3e923e43d9,Colocasia esculenta,芋,"其他,自然寄主"
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,66b37ebd-6dd5-4dff-9cfd-760642078eef,Commelina nudiflora,竹节菜,自然寄主
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,21cba4f1-dd58-4a4e-8a80-c9d5c7e1d303,Convallaria majalis,欧铃兰，铃兰,",自然寄主"
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,7f04710a-f772-4332-923e-2d92153d29e1,Convolvulus cneorum,银旋花,自然寄主
